label,message
ham,"Hey, are we still meeting for lunch?"
spam,WINNER!! You have won a free ticket to Bahamas! Reply NOW.
ham,Don't forget to bring the documents.
spam,Congratulations! You've been selected for a $1000 gift card. Click here to claim.
ham,Let me know when you get home safely.
spam,URGENT! Your account has been suspended. Login now to verify.
ham,Happy birthday! Hope you have a great day.
spam,You have won a new iPhone. Enter your details to receive it now.
ham,See you at the meeting tomorrow.
spam,You’ve been chosen to receive a free laptop. Act fast!
